Datum von,Ort (ausschließlich Dresden),Thema,Teilnehmerzahl Anmeldung
2022-01-01,Neumarkt,Wir sprechen alle Menschen an - Befürworter und Kritiker der aktuellen Coronapolitik,10
2022-01-03,Rathausplatz,Dresden zum sicheren Hafen! Gemeinsam für sichere Fluchtwege,10
2022-01-03,Pieschener Allee - B6 - Bautzen,Autokorso - Impfaufklärung,150
2022-01-06,Neumarkt,"Lichter für die Freiheit; Für
Versammlungsfreiheit und Selbstbestimmung",100
2022-01-08,Neumarkt,Mit Anstand und Abstand optimistisch ins Neue Jahr,10
2022-01-09,HbF - Schillerplatz,Wir lassen uns nicht spalten,300
2022-01-10,Rathaus ,Am 13.02. Täter*innenspuren suchen statt Opfermythen pflegen ,10
2022-01-10,Pieschener Allee - Dresdner Straße,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,150
2022-01-12,Wigardstraße,Lage der geschlossenen Kosmetikstudios und die erschwer ten Bedingungen durch 2G in den Salons,10
2022-01-17,Leipziger/ Lommatzscher Str.,Gegen Querdenker_innen und Verschwörungsideolog_innen,30
2022-01-17,Pieschener Allee - Tierpark Meißen,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,150
2022-01-20,Vorplatz am Alten Leipziger Bahnhof,Kundgebung anlässlich des 80. Jahrestages des Beginns der Deportation Dresdner Juden in die Vernichtungslager der Nazis,1000
2022-01-24,Schillerplatz,Mahnwache für Vernunft und Solidarität,200
2022-01-24,Pieschener Allee - Radeberg - Flughafen Dresden,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,150
2022-01-27,Messering,Versorgungsnotstand abwenden! Nein zur Impfpflicht,50
2022-01-31,Kieler Straße ,Mit Vernunft und Solidarität gemeinsam aus der Krise ,30
2022-01-31,Pieschener Allee - Freital - Weißeritzstr.,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,150
2022-01-31,Mickten,"Demonstratio für Frieden, Freiheit & Demokratie",300
2022-01-31,Wiener Platz,Ihr klaut uns unsere Jugend - Corona Maßnamen beenden,20
2022-01-31,Albertplatz,Zusammen trotz Covid,30
2022-02-01,Wilder Mann,Trachau braucht keine Querdenker!,30
2022-02-02,Albertplatz - Alaunpark - Albertplatz,"Stoppt den Bombenkrieg der Türkei! Den Chemiewaffeneinsatz aufklären und ächten! Hände weg von Rojava, Sengal und Mexmur!",50
2022-02-04,Altmarkt - Hauptstraße - Altmarkt,Gesundheitswesen zeigt Gesicht für eine  Freie Impfentscheidung,900
2022-02-05,Kronstädter Platz - Leubener Str.,Laubegast demokratisch bunt,100
2022-02-07,Dresden - Bad Schandau,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,200
2022-02-07,Albertplatz,Zusammen trotz Covid - open mic ,100
2022-02-08,Wilder Mann,Trachau braucht keine Querdenker Aufmärsche!,20
2022-02-11,Altmarkt - Hauptstraße - Sachsenplatz - Altmarkt,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-02-11,Jorge-Gomondai-Platz,Querfaschos raus aus der Neustadt,50
2022-02-13,Schlesischer Platz,Im Gedenken an die Opfer des Nationalsozialismus,350
2022-02-13,Nürnberger Str.,Demonstration gegen Geschichtsrevisionismus,250
2022-02-13,Altmarkt,Menschenkette zum Gedenken,1000
2022-02-13,HBF ,"Gemeinsam gegen Rassismus und Sozialabbau, Nazis und Rassisten den Boden entziehen",10
2022-02-13,Kulturpalast,Gedenken zur Bombardierung Dresdens am 13.02.1945,20
2022-02-13,Pfotenhauer Straße - Rietschelstraße,Rollenbilder im Nationalsozialismus,n.b.
2022-02-13,Neumarkt,"Ihr seid nicht für das verantwortlich, was geschah. Aber dass es nicht wieder geschieht, dafür schon",50
2022-02-13,Hasenburg - Neumarkt,"Dresdner Gedenkweg - unterwegs zur
Versöhnung -13. Februar",200
2022-02-13,Jüdenhof - Neumarkt,25. Dresdner Friedenslauf,15
2022-02-13,Postplatz,Friedliches Gedenken an die Opfer von Krieg und Faschismus anlässlich des 13.Februar,50
2022-02-13,Friedrich List Platz,Gegen den Opfermythos - Dresden Nazifrei,200
2022-02-13,Bahnhof Mitte - Theatherplatz - Postplatz - Bahnhof Mitte,Vergesst niemals Dresden! Gedenken zu Ehren der Dresdner Luftkriegstoten des 13. Februar 1945. Dresden-Gedenken 2022,500
2022-02-13,Altnickern,"Kein Platz für Nazis, weg mit dem Opfermythos",20
2022-02-13,Altmarkt,Im Gedenken an die Opfer - Täter*innen entlarven - Verantwortung übernehmen,1000
2022-02-13,Rathausplatz,Tu was gegen rechts - Demokratie stärken,20
2022-02-13,Neumarkt,Stilles Gedenken vor der Frauenkirche Dresden - wahrhaftig erinnern - versöhnt leben´,n.b.
2022-02-13,Wettiner Platz,Revolutione Calzone - Pizza gegen Nazis,300
2022-02-13,Ammonstraße,B173? - Ein schlechtes Pflaster für Nazis,500
2022-02-13,Kreuzkirche,Mahnwache zur Erinnerung an die Holocaustopfer der Stadt Dresden 1933 bis 1945,4
2022-02-13,"Wiener Platz, Zwischen Kino und HBF",Auch Gedenken braucht Vernunft und Solidarität,300
2022-02-13,Altmarkt,Gedenken 13. Februar,100
2022-02-13,Schützenplatz,Kein Platz für Nazis!,30
2022-02-14,Dresden - Kreischa,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,n.b.
2022-02-14,Lingnerallee,Ihr klaut uns unsere Jugend - Corona Maßnamen beenden,20
2022-02-18,Altmarkt - Wiegardstraße,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-02-18,Neustädter Markt,Solidarität statt Verschwörungsideologie,30
2022-02-19,Augustusbrücke,Kein Stören des Hanaugedenkens durch Querdenker,50
2022-02-19,Alter Straßenbahnhof Mickten - Altmarkt,Keinen Spaziergang den Schwurblern - Faschist*innen entgegenstellen,50
2022-02-19,Wilsdruffer Straße - Wiener Platz - Wilsdruffer Str.,Demonstration für eine freie Impfentscheidung,4000
2022-02-19,Leipziger Str.-Augustusbrücke-Schlossstr.,"Zubringer zur Demo Altmarkt: Spaziergang für Frieden, Freiheit ….",200
2022-02-20,Neumarkt,"Respektvoller, offener Dialog miteinander statt übereinander",20
2022-02-21,Dresden - Kreischa,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,n.b.
2022-02-21,Leipziger Str. - Großenhainer Str. - Leipziger Str.,"Spaziergang für Frieden, Freiheit & Selbstbestimmung",250
2022-02-21,Prager Str.-Seestr.-Lennestr.-Gpnzstr.-Albertbrücke-Terassenufer-Wilsdruffer Str.-Kreuzstr.-Pragerstr.,"Hop, hop, Schwurbelstopp!",40
2022-02-22,Endhaltestelle Wilder Mann,Trachau hat kein Bock auf nervige Querfaschos!,20
2022-02-24,Neumarkt,Solidaritätskundgebung für die Ukraine,1000
2022-02-24,Jorge-Gomondai-Platz - Neumarkt,Für Frieden in Osteuropa - Solidarität mit der ukrainischen Bevölkerung,150
2022-02-24,Prager Str. ,"Gegen den ungerechten Krieg um die Ukraine. Aktiver Widerstand! Gegen jede imperialistische Aggression, egal ob USA/NATO oder Russland! ",10
2022-02-25,Altmarkt - Wiegardstraße - Altmarkt,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-02-26,Pieschener Allee - Wiener Platz,Europe for Freedom Infotour #w2702,20
2022-02-26,Salzgäßchen,"Gegen Krieg, gegen die Aggressionen von Russland und NATO",60
2022-02-26,Albertplatz,Stoppt die gefährliche Kriegstreiberei ausgehend von USA/NATO! Gegen jede imperialistische Aggression- ob USA/NATO oder Russland,20
2022-02-27,Neumarkt,Solidarität mit der Ukraine,1000
2022-02-28,Parkanlage Weißer Hirsch,Haltung zeigen Weißer Hirsch,200
2022-02-28,Jorge-Gomondai-Platz ,Mahnwache für Frieden Dresden,n.b.
2022-02-28,Schillerplatz,Kein Platz für Egoismus und Hass in unserer Gesellschaft,30
2022-02-28,Dresden - Klipphausen,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,200
2022-02-28,Leipziger Str. - Markusstraße - Bunsenstr. - Leipziger Str.,"Spaziergang für Frieden, Freiheit & Selbstbestimmung",200
2022-03-01,Endhaltestelle Wilder Mann,Kein Mensch braucht Quergida,20
2022-03-04,Altmarkt - Augustusbrücke - Carolaplatz - Albertbrücke - Straßburger Platz - Altmarkt ,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-03-04,Neustädter Markt,Solidarische Herdenimmunität,30
2022-03-05,Altmarkt,Gesund ohne Zwang 2G und Impfzwang beenden,1000
2022-03-05,Neumarkt,Omas gegen Rechts,15
2022-03-06,Neumarkt,Solidarität mit der Ukraine,1000
2022-03-07,Dresden - Radeberg,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,200
2022-03-07,Leipziger Str. - Markusstraße - Bunsenstr. - Leipziger Str.,"Spaziergang für Frieden, Freiheit & Selbstbestimmung",200
2022-03-07,Wiener Platz/Prager Straße/Globetrotter/Lennestraße/Güntzstraße/Terrassenufer/Wilsdruffer Straße/Kreuzstraße,"Hop, hop, Schwurbelstopp! Gegen selbstermächtigende Querschwurbler",100
2022-03-08,Endhaltestelle Wilder Mann,Kein Platz für Querdenker und Verschrörungstheorien in Trachau,20
2022-03-11,Neumarkt - Wiener Platz - Neumarkt,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-03-11,Neumarkt,"Frieden in Europa, Frieden weltweit",20
2022-03-12,Kronstädter Platz - Kirchplatz - Kronstädter Platz ,Laubegast demokratisch bunt,250
2022-03-12,Schlesischer Platz - Alaunplatz - Königsbrücker Platz,Alerta Queerfeminista - Zusammen gegen das Patriarchat,100
2022-03-13,Neumarkt,Solidarität mit der Ukraine,1000
2022-03-14,Wiener Platz/Prager Straße/Pirnaischer Platz,"Hop, hop, Schwurbelstopp! Gegen selbstermächtigende Querschwurbler",100
2022-03-14,Pfaffendorfer Straße ,Friedliche Nachbarschaft braucht Bildung und Gesundheit,15
2022-03-14,Dresden - Sebnitz,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,200
2022-03-14,Leipziger Str. - Rietzstr. - Winterstr. - Leipziger Str.,"Demo für Frieden, Freiheit & Selbstbestimmung",200
2022-03-15,Haltestelle Dorothea-Erxlen-Str.,Kein Platz für Querdenker und Verschrörungstheorien in Trachau,20
2022-03-18,Neumarkt - Wiener Platz - Neumarkt,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-03-19,Dresden/Wilsdruff/Bannewitz zum Volksfestgelände,Sternfahrt als Protestaktion gegen die eplodierenden Spritpreise,100
2022-03-20,Altmarkt - Albertbrücke - Carolabrücke - Altmarkt,"Demonstration für eine freie Impfentscheidung, die Wiederherstellung der Menschenrechte und des Ende der Corona Maßnahmen",4000
2022-03-20,Neumarkt,Solidarität mit der Ukraine,1000
2022-03-21,Wilsdruffer Straße  ,"Hop, hop, Schwurbelstopp!",40
2022-03-21,Dresden/Pieschener Allee - Bad Schandau,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,200
2022-03-21,Leipziger Str. - Bürgerstr. - Leipziger Str.,"Demo für Frieden, Freiheit & Selbstbestimmung",200
2022-03-22,Neumarkt - Pirnaischer Platz - Altmarkt - Neumarkt,Grundgesetz und Demokratie schützen,1000
2022-03-22,Endhaltestelle Wilder Mann,Kein Platz für Querdenker und Verschrörungstheorien in Trachau,20
2022-03-22,Neumarkt,Nationalismus raus aus den Köpfen,400
2022-03-22,Neumarkt - Wildsdruffer Str. - Neumarkt,Nationalismus raus aus den Köpfen,200
2022-03-25,Neumarkt - Wiener Platz - Neumarkt,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-03-26,Leisniger Platz - Bürgerstraße - Leisniger Platz,Antifaschstische Stadtteil - Demostration gegen Querdenker/Nazis in Dresden,100
2022-03-27,Neumarkt,Solidarität mit der Ukraine,1000
2022-03-28,Dresden/Pieschener Allee - Dippolsdiswalde,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,150
2022-03-28,Leipziger Str. - Bürgerstr. - Trachauer Str. - Leipziger Str.,"Demo für Frieden, Freiheit & Selbstbestimmung",200
2022-03-28,Lennestr. - Neumarkt - Lennestraße,"Frieden, freie Impfentscheidung",750
2022-03-29,Endhaltestelle Wilder Mann,Kein Platz für Querdenker und Verschrörungstheorien in Trachau,20
2022-04-01,Altmarkt - Carolabrücke - Marienbrücke - Altmarkt,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-04-04,Dresden/Pieschener Allee - Lingnerallee,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,200
2022-04-04,Leipziger Str. - Seumestraße - Leisniger Platz - Leipziger Str.,"Demo für Frieden, Freiheit & Selbstbestimmung",150
2022-04-04,Lingnerallee - Rathenauplatz - Pirnischer Platz - Neumarkt - Straßburger Platz Lennestraße,"Frieden, freie Impfentscheidung, mehr Dialog um gesellschaftliche Spaltung zu überwinden",750
2022-04-08,Altmarkt - Carolabrücke - Marienbrücke - Altmarkt,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-04-09,Albrechtplatz,Seit Corona ist der Drogenkonsum in Sachsen stark gestiegen! -  Wir tun etwas dagegegen!,20
2022-04-10,Neumarkt - Pirnaischer Platz - Altmarkt - Neumarkt,Grundgesetz und Demokratie schützen,1000
2022-04-10,Alaunplatz-Augustusbrücke-Altmarkt,Fight Pegida everyday,200
2022-04-10,Wasaplatz-Altmarkt,Sie sind wieder da … wir sind mehr!,60
2022-04-10,Altmarkt,Nationalismus raus aus den Köpfen,800
2022-04-10,Neumarkt - Wildsdruffer Str. - Neumarkt,Nationalismus raus aus den Köpfen,800
2022-04-11,Wilsdruffer Straße  ,"Hop, hop, Schwurbelstopp!",20
2022-04-11,Dresden/Pieschener Allee - n.b.,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,200
2022-04-11,Leipziger Str. - Seumestraße - Leisniger Platz - Leipziger Str.,"Demo für Frieden, Freiheit & Selbstbestimmung",150
2022-04-11,Lingnerallee - Rathenauplatz - Pirnischer Platz - Neumarkt - Straßburger Platz Lennestraße,"Frieden, freie Impfentscheidung, mehr Dialog um gesellschaftliche Spaltung zu überwinden",750
2022-04-13,Pfotenhauerstraße - Arnoldstr.,Für Demokratie. Für Solidarität,1500
2022-04-14,Dresden/Pieschener Allee - Dippolsdiswalde,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,300
2022-04-15,Neumarkt - Wiener Platz - Neumarkt,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-04-18,Dresden/Pieschener Allee - n.b.,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,200
2022-04-18,Königsbrücker Str. 88,Kein Platz für Quergida!,30
2022-04-18,Olbrichtplatz - LDS - Rathaus,Ostermarsch 2022,300
2022-04-18,Lingnerallee - Hbf - Feldgasse - Georgplatz - Lenneplatz,"Frieden, freie Impfentscheidung, mehr Dialog um gesellschaftliche Spaltung zu überwinden",500
2022-04-18,Lingnerallee - Wasaplatz - Richard-Strauss-Platz - Lenneplatz,"Frieden, freie Impfentscheidung, mehr Dialog um gesellschaftliche Spaltung zu überwinden",500
2022-04-22,Altmarkt - Friedrichstadt - Altmarkt,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-04-23,Hbf - Altmarkt - Albertplatz,No War - Krieg in Südkurdistan,100
2022-04-25,Dresden/Pieschener Allee - Radeberg,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,140
2022-04-29,Postplatz - Wiener Platz - Rathausplatz - Postplatz,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-04-30,Theatherplatz,Solidarität mit den Menschen in der Ukraine!,100
2022-04-30,Theatherplatz - Pirnaischer Platz - Carolabrücke - Augustusbrücke - Theaterplatz,"Weltfrieden, kein Krieg in Europa, Völkerverständigung, keine Propaganda in den Schulen",200
2022-04-30,Theatherplatz - Rathausplatz - Theatherplatz,Solidarität mit der Ukraine,200
2022-05-01,Theatherplatz,Auftakt OB-Wahl,300
2022-05-02,Dresden/Pieschener Allee - n.b.,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,200
2022-05-02,Carolabrücke,Pop-up-Radweg: Lückenschluss Carolabrücke,n.b.
2022-05-02,Lennestraße - Striesener Str. - ReißigerStraße - Lennestraße,"Frieden, freie Impfentscheidung, mehr Dialog um gesellschaftliche Spaltung zu überwinden",500
2022-05-03,Carolabrücke,Pop-up-Radweg: Lückenschluss Carolabrücke,n.b.
2022-05-06,Postplatz -  Pirnaische Platz - Carolabrücke- Marienbrücke - Postplatz,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-05-08,Theaterplatz,Nie wieder Faschismus! Nie wieder Krieg!,1000
2022-05-09,Dresden/Pieschener Allee - Pirna,Autokorso für eine freie Impfentscheidung und die Wiederherstellung aller Grundrechte,200
2022-05-09,Lennestraße - Altmarkt - Prager Str. - Bürgerwiese -Lennestraße,"Frieden, freie Impfentscheidung, mehr Dialog um gesellschaftliche Spaltung zu überwinden",500
2022-05-13,Postplatz - Budapester Straße - Wiener Platz - Georgplatz - Postplatz ,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-05-16,Dresden/Pieschener Allee - n.b.,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,200
2022-05-16,Lennestraße - Terrassenufer - Wilsdruffer Str. - Lennestraße,"Frieden, freie Impfentscheidung, mehr Dialog um gesellschaftliche Spaltung zu überwinden",300
2022-05-18,Bautzner Str. - Radeberger Str.,Es lebe die Ukraine!,150
2022-05-20,Postplatz - Friedrichstraße - Könneritzstraße - Annenstraße - Postplatz ,Gesundheitswesen zeigt Gesicht für eine freie Impfentscheidung,2000
2022-05-20,Postplatz,Freie Sachsen unterstützen den Protest gegen die Impfpflicht!,20
2022-05-20,Kochstr. - Schenkendorfstraße,Späti Tour: Solidarität mit den Leipziger Spätverkäufen für eine Flexibilisierung der Ladenöffnungen,25
2022-05-21,Neumarkt,Fight for solidarity - Stoppt die Kriminalisierung von Flucht und Seenotrettung ,20
2022-05-21,Helmut-Schön-Allee,Keine Show für Täter,50
2022-05-22,Postplatz - Theaterplatz – Rathenauplatz – Postplatz,Solidarität mit der Ukraine,500
2022-05-23,Prager Straße,Demo für eine freie Impfentscheidung und die Wiederherstellung der Grundrechte,150
2022-05-23,Lennestraße - n.b.,Geradedenken,60
