Nr.,Anmeldedat.,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
134,2017-06-16,"Freiheit für Öcalan, Freiheit für verhaftete Abgeordnete in der Türkei",2017-06-22 00:00:00,17:00-20:00,DU-Stadtmitte; Schiffsmaskenbrunnen,20
135,2017-06-16,"Freiheit für Öcalan, Freiheit für verhaftete Abgeordnete in der Türkei",2017-06-24 00:00:00,17:00-20:00,DU-Stadtmitte; Schiffsmaskenbrunnen,20
136,2017-06-19,Freiheit für Delfine und Wale 2017,2017-06-25 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,25
137,2017-06-22,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierenden in China, Falun Dafa ist gut",2017-07-01 00:00:00,14:00-18:00,DU-Stadtmitte; Königstraße,3-8
138,2017-06-22,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierenden in China, Falun Dafa ist gut",2017-07-02 00:00:00,14:00-18:00,DU-Stadtmitte; Königstraße,3-8
139,2017-06-30,Situation in der Türkei,2017-07-01 00:00:00,13:00-16:00,DU-Stadtmitte; Königstraße 13,30
140,2017-07-01,Der G20-Gipfel und der Widerstand,2017-07-03 00:00:00,17:30-18:30,DU-Stadtmitte; Lifesaver,40-50
141,2017-07-10,G20-Gipfel - Eine Bilanz,2017-07-10 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
142,2017-07-17,Die Preiserhöhungen im ÖPNV,2017-07-17 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
143,2017-07-24,Der Kampf gegen die Altersarmut,2017-07-24 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
144,2017-07-31,Die Zukunft der Stahlindustrie,2017-07-31 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
145,2017-08-07,13 Jahre Montagsdemo Duisurg - Das Jubiläum,2017-08-07 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
146,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-17 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
147,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-18 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
148,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-19 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
149,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-20 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
150,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-21 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
151,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-22 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
152,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-23 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
153,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-24 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
154,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-25 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
155,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-26 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
156,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-27 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
157,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-28 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
158,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-29 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
159,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-30 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
160,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-07-31 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
161,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-01 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
162,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-02 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
163,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-03 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
164,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-04 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
165,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-05 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
166,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-06 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
167,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-07 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
168,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-08 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
169,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-09 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
170,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-10 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
171,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-11 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
172,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-12 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
173,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-13 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
174,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-14 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
175,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-15 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
176,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-16 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
177,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-17 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
178,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-18 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
179,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-19 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
180,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-20 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
181,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-21 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
182,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-22 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
183,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-23 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
184,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-24 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
185,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-25 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
186,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-26 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
187,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-27 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
188,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-28 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
189,2017-07-10,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2017""",2017-08-29 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-25
190,2017-07-10,Solidarität für die gefangenen Akademiker in der Türkei,2017-07-11 00:00:00,16:00-19:00,"DU-Stadtmitte, König-Heinrich-Platz",2-5
191,2017-07-10,Solidarität für die gefangenen Akademiker in der Türkei,2017-07-12 00:00:00,16:00-19:00,"DU-Stadtmitte, König-Heinrich-Platz",2-5
192,2017-07-10,Solidarität für die gefangenen Akademiker in der Türkei,2017-07-13 00:00:00,16:00-19:00,"DU-Stadtmitte, König-Heinrich-Platz",2-5
193,2017-07-10,Solidarität für die gefangenen Akademiker in der Türkei,2017-07-14 00:00:00,16:00-19:00,"DU-Stadtmitte, König-Heinrich-Platz",2-5
194,2017-07-10,Solidarität für die gefangenen Akademiker in der Türkei,2017-07-15 00:00:00,13:00-18:30,"DU-Stadtmitte, König-Heinrich-Platz",2-5
195,2017-07-10,Solidarität für die gefangenen Akademiker in der Türkei,2017-07-16 00:00:00,16:00-19:00,"DU-Stadtmitte, König-Heinrich-Platz",2-5
196,2017-07-10,Solidarität für die gefangenen Akademiker in der Türkei,2017-07-17 00:00:00,16:00-19:00,"DU-Stadtmitte, König-Heinrich-Platz",2-5
197,2017-07-10,Solidarität für die gefangenen Akademiker in der Türkei,2017-07-18 00:00:00,16:00-19:00,"DU-Stadtmitte, König-Heinrich-Platz",2-5
198,2017-07-10,Solidarität für die gefangenen Akademiker in der Türkei,2017-07-19 00:00:00,16:00-19:00,"DU-Stadtmitte, König-Heinrich-Platz",2-5
199,2017-07-10,Solidarität für die gefangenen Akademiker in der Türkei,2017-07-20 00:00:00,16:00-19:00,"DU-Stadtmitte, König-Heinrich-Platz",2-5
200,2017-07-10,Solidarität für die gefangenen Akademiker in der Türkei,2017-07-21 00:00:00,16:00-19:00,"DU-Stadtmitte, König-Heinrich-Platz",2-5
201,2017-07-10,Solidarität für die gefangenen Akademiker in der Türkei,2017-07-22 00:00:00,13:00-18:30,"DU-Stadtmitte, König-Heinrich-Platz",2-5
202,2017-07-18,Wir kommen wieder!,2017-08-07 00:00:00,19:00-22:00,-,50
203,2017-07-19,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierenden in China, Falun Dafa ist gut",2017-07-23 00:00:00,12:00-19:00,DU-Stadtmitte; Königstraße a. d. H. v. Haus 68-70,3-8
204,2017-07-24,Rettet unser Wegbier,2017-07-28 00:00:00,19:30-22:00,DU-Stadtmitte; Börsenstraße 11,4
205,2017-07-24,Wahlkundgebung der internationalistischen Liste / MLPD,2017-09-16 00:00:00,10:00-17:00,DU-Stadtmitte; Königstraße ,100-150
206,2017-07-25,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-10-05 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthoplatz - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz,150-200
207,2017-07-25,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-10-12 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthoplatz - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz,150-200
208,2017-07-25,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-10-19 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthoplatz - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz,150-200
209,2017-07-25,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-10-26 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthoplatz - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz,150-200
210,2017-07-29,Mahnwache zum Gedenken an die jesidischen Opfer des IS,2017-08-03 00:00:00,10:00-19:00,DU-Stadtmitte; Kuhstraße / Ecke Kuhlenwall,150
211,2017-08-02,"Kritik an Hartz-IV, Kritik an Sanktionen im Rahmen des SGBII",2017-08-08 00:00:00,07:00-11:00,DU-Hamborn; Duisburger Straße 277,5
212,2017-08-03,Antikriegstag,2017-09-01 00:00:00,17:00-20:00,DU-Stadtmitte; Königstraße (Lifesaver),50
213,2017-08-14,"Solidaritätszelt für Akademiker in der Türkei, gegen die massenhafte Suspendierung der Arbeitsstellen und Maßnahmen des Ausnahmezustandes seit über 150 Tagen",2017-08-16 00:00:00,12:00-19:00,DU-Hamborn; Altmarkt/Richterstraße,30-40
214,2017-08-14,"Solidaritätszelt für Akademiker in der Türkei, gegen die massenhafte Suspendierung der Arbeitsstellen und Maßnahmen des Ausnahmezustandes seit über 150 Tagen",2017-08-17 00:00:00,12:00-19:00,DU-Hamborn; Altmarkt/Richterstraße,30-40
215,2017-08-15,Tarifvertragliche Entlastung für Krankenhäuser; Forderung im Wahlkampf,2017-08-18 00:00:00,17:30-18:30,DU-Stadtmitte; Stapeltor 8 - Philosophenweg 31-33,20
216,2017-08-18,"""Glück-Auf"" NRW Endspurt Bundestagswahlkampf 2017",2017-09-04 00:00:00,17:00-23:00,DU-Ruhrort; Gustav-Sander-Platz (Schifferbörse),98
217,2017-08-21,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-09-11 00:00:00,18:00-21:00,Du-Stadtmitte; Portsmouthplatz,150
218,2017-08-22,Politische Häftlinge in Aserbaidschan,2017-09-02 00:00:00,13:00-14:00,"DU-Statmite, Portsmouthplatz",30-35
219,2017-08-22,Freiheit für Öcalan und HDP-Abgeordneten und Bürgermeistern,2017-09-09 00:00:00,14:00:00,DU-Stadtmitte; Portsmouthplatz - Königstraße - Portsmouthplatz,1.000
220,2017-08-23,Antikriegskundgebung und Demonstration,2017-09-01 00:00:00,16:00-20:00,DU-Stadtmitte; Königstraße - Mercatorstraße - Königstraße - Kuhtor - Forum ,300-350
221,2017-08-24,Tierhandel,2017-12-02 00:00:00,13:00-16:00,DU-Hamborn; Konrad-Adenauer-Ring 6,30-40
222,2017-08-26,Wahlprüfsteine zur OB-Wahl,2017-09-04 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
223,2017-08-26,Der Terrorismus heute,2017-09-11 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
224,2017-08-26,Vorstellung der Kandidaten zur OB-Wahl,2017-09-18 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
225,2017-08-26,Auswertung der Wahlen,2017-09-25 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
226,2017-08-30,"Aufruf zum Glauben: ""Glaube an den HERRN Jesus Christus, so wirst du und dein Haus selig!""",2017-09-02 00:00:00,11:00-15:00,DU-Stadtmitte; Königstraße,15
227,2017-09-03,Protestaktion gegen Entführung und Mord an Frau Saray Güven aus Frankfurt,2017-09-06 00:00:00,16:00-18:00,DU-Stadtmitte; Kuhtor,150
228,2017-08-29,No Duigida - gegen den PEGIDA-Aufmarsch,2017-09-04 00:00:00,18:30-21:30,DU-Stadtmitte; Portsmuthplatz,50-70
229,2017-03-24,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-09-04 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
230,2017-09-01,Kinder aus Arakan,2017-09-02 00:00:00,09:00:00,DU-Stadtmitte; Düsseldorfer Straße ,2-10
231,2017-09-01,Kinder aus Arakan,2017-09-03 00:00:00,-,DU-Stadtmitte; Düsseldorfer Straße ,2-10
232,2017-09-01,Kinder aus Arakan,2017-09-04 00:00:00,18:00:00,DU-Stadtmitte; Düsseldorfer Straße ,2-10
233,2017-09-07,Unterschriftensammlung zur Petition des DHV,2017-09-09 00:00:00,11:00-19:00,DU-Stadtmitte; Life-Saver-Brunnen,10
234,2017-09-11,Protestkundgebung für jeden Arbeitsplatz bei Thyssen,2017-09-14 00:00:00,12:00-15:30,DU-Bruckhausen; versch. Standorte,50-200
235,2017-09-11,Unterdrückung in Bruma/China,2017-09-16 00:00:00,17:00-18:30,DU-Stadtmitte; Portsmouthplatz,ca. 50
236,2017-07-19,Mädchenarbeit sichern,2017-09-22 00:00:00,19:00-19:30,Duisburg-hamborn; Schillerstraße,300
237,2017-09-13,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-09-18 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthplatz,150-200
238,2017-09-13,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-10-09 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthplatz,150-200
238,,,,,,
239,2017-08-29,No Duigida - gegen den PEGIDA-Aufmarsch,2017-09-18 00:00:00,18:30-21:30,DU-Stadtmitte; Portsmuthplatz,50-70
240,2017-09-14,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-09-18 00:00:00,18:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
241,2017-09-14,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-10-09 00:00:00,18:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
242,2017-09-18,Tiere sind keine Weihnachtsgeschenke / Tiere sind keine Ware,2017-12-09 00:00:00,13:00-16:00,DU-Hamborn; Konrad-Adenauer-Ring 6,20
243,2017-09-16,Tag der älteren Menschen,2017-10-02 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
244,2017-09-16,Arbeitsgelegenheiten im SGB 2,2017-10-09 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
245,2017-09-16,Die Klimakatastrophe,2017-10-16 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
246,2017-09-16,Wohnungspolitik in Duisburg,2017-10-23 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
247,2017-09-16,Die Situation in Kitas und Schulen,2017-10-30 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver,40-50
248,2017-08-29,No Duigida - gegen den PEGIDA-Aufmarsch,2017-10-09 00:00:00,18:30-21:30,DU-Stadtmitte; Portsmuthplatz,50-70
249,2017-09-28,Gegen Gülen Bewegung ,2017-08-30 00:00:00,15:00-18:00,DU-Stadtmitte; Münstr. / Universitätsstraße,200-300
250,2017-09-28,Gegen die Unterdrückung von Ambazonien,2017-10-01 00:00:00,14:00-16:00,DU-Stadtmitte; Portsmouthplatz,50
251,2017-09-29,Stoppt den LKW-Verkehr in Friemersheim,2017-10-14 00:00:00,11:00-14:00,DU-Rheinhausen; Marktplatz Friemersheim,1000
252,2017-09-29,Gegen eine mögliche Fusion von Thyssen Krupp und Tata,2017-10-11 00:00:00,11.00-13:00,"Rhein, Höhe Landtag",150
253,2017-10-16,Isolationshaft von Kurdenführer Öcalan,2017-10-16 00:00:00,17:00-20:00,DU-Stadtmitte; Portsmouthplatz,50-80
254,2017-10-16,Isolationshaft von Kurdenführer Öcalan,2017-10-17 00:00:00,17:00-20:00,DU-Stadtmitte; Portsmouthplatz,50-80
255,2017-10-18,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-11-06 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthplatz - Friedrich-Wilhelm-Straße - Düsseldorferstraße - Königstraße - Mercatorstraße - Portsmouthplatz,80-100
256,2017-10-19,Kritik an Sanktionen unterhalb des SGB II-Regelsatz-Existenzminimums,2017-11-07 00:00:00,07:00-11:00,DU-Hamborn; Duisburger Straße 277 vor dem dortigen Jobcenter,ca. 5
257,2017-10-23,Öcalan leben,2017-10-25 00:00:00,13:00-18:00,DU-Stadtmitte; Portsmouthplatz,ca. 20
258,2017-10-23,Öcalan leben,2017-10-26 00:00:00,13:00-18:00,DU-Stadtmitte; Portsmouthplatz,ca. 20
259,2017-10-23,Öcalan leben,2017-10-27 00:00:00,13:00-18:00,DU-Stadtmitte; Portsmouthplatz,ca. 20
260,2017-10-23,Öcalan leben,2017-10-28 00:00:00,13:00-18:00,DU-Stadtmitte; Portsmouthplatz,ca. 20
261,2017-10-23,Öcalan leben,2017-10-28 00:00:00,18:00-20:00,DU-Stadtmitte; Portsmouthplatz,ca. 20
262,2017-10-25,Freiheit für Delfine im Duisburger Zoo 2017,2017-10-29 00:00:00,11:00-15:00,DU-Duissern; Mülheimer Straße 273,ca. 25
263,2017-10-25,Warnstreik,2017-10-27 00:00:00,16:00-02:00,DU-Stadtmitte; Neudorfer Straße (vor der UCI Kinowelt),ca. 30
264,2017-10-28,Baumfällung auf der Friedrich-Wilhelm-Straße,2017-11-06 00:00:00,17:30-18:30,DU-Stadtmtte; Livesafer-Brunnen,40-50
265,2017-10-28,Frage der Arbeitszeitverkürzung,2017-11-13 00:00:00,17:30-18:30,DU-Stadtmtte; Livesafer-Brunnen,40-50
266,2017-10-28,Situation der älteren Menschen,2017-11-20 00:00:00,17:30-18:30,DU-Stadtmtte; Livesafer-Brunnen,40-50
267,2017-10-28,Tag gegen Gewalt an Frauen,2017-11-27 00:00:00,17:30-18:30,DU-Stadtmtte; Livesafer-Brunnen,40-50
268,2017-10-28,Stromsperren,2017-12-04 00:00:00,17:30-18:30,DU-Stadtmtte; Livesafer-Brunnen,40-50
269,2017-10-28,Ernährung,2017-12-11 00:00:00,17:30-18:30,DU-Stadtmtte; Livesafer-Brunnen,40-50
270,2017-10-28,Jahresrückblick,2017-12-18 00:00:00,17:30-18:30,DU-Stadtmtte; Livesafer-Brunnen,40-50
271,2017-10-29,Solidaritätskundgebung für die sich im Hungerstreik befindenden Akademiker Nuriye Gülmen und Semih Özakca,2017-11-04 00:00:00,17:00-18:00,DU-Stadtmitte; Portsmouthplatz,ca. 100
272,2017-10-31,"Einmarsch der türkischen Armee in Irak-Kurdistan ""Türkische Armee, Erdogan raus""",2017-11-02 00:00:00,12:00-18:00,DU-Stadtmitte; Portsmouthplatz,ca. 10-15
273,2017-11-03,No Duigida - gegen den PEGIDA-Aufmarsch,2017-11-06 00:00:00,18:30-21:30,DU-Stadtmitte; Portsmuthplatz,50-70
274,2017-11-15,Wo sind unsere christlichen Werte? Ist Gott nicht ein Gott der Liebe ?! Werte der Reformation,2017-11-18 00:00:00,11:00-18:00,DU-Stadtmitte; König-Heinrich-Platz,15-20
275,2017-11-16,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierenden in China, Falun Dafa ist gut",2017-11-25 00:00:00,12:00-18:00,DU-Stadtmitte; Königstraße,
276,2017-11-23,Tag gegen Gewalt an Frauen,2017-11-25 00:00:00,14:00-15:00,DU-Hamborn; Altmarkt,50
277,2017-11-24,Kaputtsparen ist nicht - Haushaltswende jetzt,2017-11-27 00:00:00,13:45-15:15,DU-Stadtmitte; Burgplatz,10
278,2017-11-22,Mesla Tolu - Deutsche Journalistin im türkischen Gefängnis,2017-11-29 00:00:00,15:00-18:00,DU-Neudorf; Oststraße,-
279,2017-11-29,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierenden in China, Falun Dafa ist gut",2017-12-03 00:00:00,13:30-19:00,DU-Stadtmitte,5-8
280,2017-12-05,Isolationshaft von Kurdenführer Öcalan,2017-12-06 00:00:00,14:00-19:00,DU-Stadtmitte; Portsmouthplatz,50-80
281,2017-12-04,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierenden in China, Falun Dafa ist gut",2017-12-09 00:00:00,13:00-19:00,DU-Stadtmitte,05-08
282,2017-12-04,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierenden in China, Falun Dafa ist gut",2017-12-16 00:00:00,13:00-19:00,DU-Stadtmitte,05-08
283,2017-12-04,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierenden in China, Falun Dafa ist gut",2017-12-23 00:00:00,13:00-19:00,DU-Stadtmitte,05-08
284,2017-12-16,Gedenken am Stolperstein für Harro Schulze-Boysen & Frau ,2017-12-22 00:00:00,12:00-19:30,"DU-Dellviertel, Karl-Lehr-Str. 9 ",2-50/70
