Lfd. Nr. ,Datum der Vers,Thema,Unnamed: 3,Unnamed: 4
,,,TN angemeldet,TN anwesend
1.0,2023-01-14 00:00:00,Themenveranstaltung gegen Faschismus und Kapital,20,0
2.0,2023-01-21 00:00:00,Themenveranstaltung gegen Faschismus und Kapital,20,6
3.0,2023-02-20 00:00:00,"Preisexplosion stoppen – für Frieden, Freiheit und Wohlstand!",1000,300
4.0,2023-01-01 00:00:00,Ein Funken Hoffnung,300,185
5.0,2023-01-07 00:00:00,Recht auf Leben in Selbstbestimmung,40,15
6.0,2023-01-16 00:00:00,"Auftakt zur Aktionswoche ""Eine Stadt für alle""",3000,400
7.0,2023-01-21 00:00:00,Genug ist genug! Solidarität und Gemeinschaft als Antwort auf die Krise.,100,4
8.0,2023-01-21 00:00:00,Eine Stadt für alle unterm Regenbogen,30,32
9.0,2023-01-21 00:00:00,Buckau Block - Gemeinsam für Demokratie,200,50
10.0,21.01.2023,Klimagerechtigkeit,950,60
11.0,2023-01-21 00:00:00,Grüne für ein weltoffenes Magdeburg,15,7
12.0,2023-01-21 00:00:00,Gegen Antisemitismus. Für Weltoffenheit und Toleranz,30,5
13.0,2023-01-21 00:00:00,"Mahnveranstaltung im Rahmen der Veranstaltung ""Eine Stadt für Alle""",20,4
14.0,2023-01-21 00:00:00,Ökumenischer Friedensweg - Gedenken an die Opfer von Krieg und Gewalt,400,70
15.0,2023-01-21 00:00:00,Zeichen setzen! - Für Demokratie und Weltoffenheit,30,8
16.0,2023-01-02 00:00:00,Protest gegen die Kriegspolitik der Ampel-Bundesregierung (Diplomatie statt Waffenexporte),10,3
17.0,2023-01-23 00:00:00,Protest gegen die Kriegspolitik der Ampel-Bundesregierung (Diplomatie statt Waffenexporte),10,10
18.0,2023-01-09 00:00:00,Recht auf Leben und Selbstbestimmung,250,180
19.0,2023-04-16 00:00:00,Kinder aufs Rad,300,150
20.0,2023-05-12 00:00:00,Walk of Care 2023 MD,300,350
21.0,2023-01-21 00:00:00,Solidarische Gesellschaft Magdeburg – Kein Platz den Menschenfeinden,50,10
22.0,2023-01-21 00:00:00,"Aktionstag für Frieden, Toleranz und Solidarität",250,50
23.0,2023-01-16 00:00:00,Frieden jetzt,3,1
24.0,2023-01-26 00:00:00,Aktion für eine demokratische Zivilgesellschaft und Förderung der Vielfalt Bürgerschaftlichen Engagements in Magdeburg im Rahmen der Aktionswoche „Eine Stadt für Alle“,20,
25.0,2023-01-16 00:00:00,Recht auf Leben und Selbstbestimmung,300,200
26.0,2023-01-14 00:00:00,Erhalt der christlichen Werte in unserer Gesellschaft,10,8
27.0,2023-01-21 00:00:00,Solidarität verteidigen - Kein Platz für Nazis,20,10
28.0,2023-01-16 00:00:00,Kunstprojekt für unsere Demokratie,15,8
29.0,2023-01-21 00:00:00,Recht auf Leben in Selbstbestimmung,40,8
30.0,2023-01-13 00:00:00,Kohlestopp statt Feiern - Kundgebung zum Neujahrsempfang der Partei B90/ Die Grünen,30,40
31.0,2023-01-21 00:00:00,Mahnwache gegen Antisemitismus und Verfälschung der Geschichte – für Toleranz und Demokratie,200,16
32.0,2023-01-21 00:00:00,",,Meilenstein"" für ein demokratisches und weltoffenes Magdeburg im Bündnis gegen Rechts und Friedenskundgebung",40,10
33.0,2023-01-16 00:00:00,Protest gegen die Kriegspolitik der Ampel-Bundesregierung (Diplomatie statt Waffenexporte),10,8
34.0,2023-01-23 00:00:00,Recht auf Leben und Selbstbestimmung,300,160
35.0,2023-01-21 00:00:00,Kundgebung anlässlich der Gegenproteste zum 21.01.2023,50,7
36.0,2023-01-21 00:00:00,Freidensweg,30,52
37.0,2023-01-21 00:00:00,Extremismus und Terrorismus - mit chridtlichem Glaube unvereinbar,10,2
38.0,2023-01-21 00:00:00,Für demokratischen Verkehr,200,5
39.0,2023-02-14 00:00:00,Tanzaktion gegen Gewalt an Frauen,50,55
40.0,2023-01-21 00:00:00,Kundgebung gegen Rassismus und Menschenverachtung,100,0
41.0,2023-01-21 00:00:00,Kundgebung gegen Rassismus und Menschenverachtung,50,2
42.0,2023-01-21 00:00:00,Nazis wegbassen,250,310
43.0,2023-01-21 00:00:00,Für Toleranz und Vielfalt,50,4
44.0,2023-01-21 00:00:00,Für Weltoffenheit und Toleranz,50,4
45.0,2023-01-21 00:00:00,Getreu den Glauben,25,30
46.0,2023-01-21 00:00:00,Magdeburg - eine weltoffene Stadt,10,5
47.0,2023-01-21 00:00:00,Stadtfeldnazifrei,10,3
48.0,2023-01-21 00:00:00,Für Toleranz und Vielfalt,250,6
49.0,2023-01-21 00:00:00,"Protest gegen faschistische Aktivitäten und die Unterstützung der Aktionswoche ""Eine Stadt für Alle""",,8
50.0,2023-02-03 00:00:00,Freiheit für alle politischen Gefangenen,10,13
51.0,2023-01-28 00:00:00,"Kundgebung gegen das Verbot von Frauenarbeit, Bildung und Musik in Afgahnistan",100,55
52.0,2023-02-04 00:00:00,Recht auf Leben in Selbstbestimmung,40,10
53.0,2023-01-30 00:00:00,Recht auf Leben und Selbstbestimmung,300,140
54.0,2023-02-13 00:00:00,Arbeitsbedingungen für Lehrkräfte an öffentlichen Schulen,2500,2500
55.0,2023-01-30 00:00:00,"Der Taten erinnern, der Opfer Gedenken",30,25
56.0,2023-01-30 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,10,10
57.0,2023-01-16 00:00:00,Extremismus und Terrorismus sind nicht vereinbar mit christlichen Werten,,15
58.0,2023-01-25 00:00:00,Friedenslieder singen,10,6
59.0,2023-02-01 00:00:00,Friedenslieder singen,10,
60.0,2023-02-01 00:00:00,Du sollst nicht töten!,4,
61.0,2023-02-06 00:00:00,Recht auf Leben und Selbstbestimmung,300,145
62.0,2023-03-03 00:00:00,Globaler Klimastreik,1000,500
63.0,2023-02-08 00:00:00,Gedenken und Kranzniederlegung am Todestag von Frank Böttcher,30,24
64.0,2023-02-06 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,10,7
65.0,2023-02-06 00:00:00,-,-,6
66.0,2023-02-18 00:00:00,Recht auf Leben in Selbstbestimmung,40,12
67.0,2023-02-09 00:00:00,Gegen Diktator Erdogan,70,55
68.0,2023-02-08 00:00:00,Friedenssingen,8,
69.0,2023-03-01 00:00:00,Gedenken an die ermordeten Sinti und Roma,30,30
70.0,2023-02-13 00:00:00,Recht auf Leben und Selbstbestimmung,300,140
71.0,2023-02-13 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,10,10
72.0,2023-02-15 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,10,10
73.0,2023-02-15 00:00:00,Friedenssingen,10,k.A.
74.0,2023-02-16 00:00:00,Gedenkveranstaltung für die Erdbebenopfer in der Türkei und Syrien,250,30
75.0,2023-05-13 00:00:00,Radwegbau Glindenberg Magdeburg,200,125
76.0,2023-02-21 00:00:00,Warnstreik Tarifrunde öffentlicher Dienst,300,450
77.0,2023-02-20 00:00:00,Recht auf Leben und Selbstbestimmung,300,120
78.0,2023-02-20 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,10,6
79.0,2023-02-25 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,10,
80.0,2023-02-27 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,10,10
81.0,2023-02-19 00:00:00,Gedenken an die opfer des rassistischen Ansclages in Hanau,30,42
82.0,2023-02-24 00:00:00,Jahrestag Krieg Russlands gegen unabhängige Ukraine,1000,235
83.0,2023-02-22 00:00:00,Friedenssingen,10,
84.0,2023-02-24 00:00:00,"Gedenken an die Opfer von Krieg, Vertreibung, Zerstörung",20,12
85.0,2023-03-03 00:00:00,Globaler Klimastreik,400,100
86.0,2023-03-08 00:00:00,Feministischer Kampftag,300,310
87.0,2023-02-24 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,3,3
88.0,2023-02-27 00:00:00,Recht auf Leben und Selbstbestimmung,300,168
89.0,2023-03-04 00:00:00,Recht suf Leben in Selbstbestimmung,40,8
90.0,2023-03-01 00:00:00,Friedenssingen,10,6
91.0,2023-03-06 00:00:00,Recht auf Leben und Selbstbestimmung,300,
92.0,2023-03-03 00:00:00,Who made my clothes/Fashion Revolution/Bewusster Umgang mit Mode,50,20
93.0,2023-03-08 00:00:00,Aktive Mittagspause im Rahmen der Tarifrunde öD,50,55
94.0,2023-03-04 00:00:00,"Die Verfolgung von Falun Gong- Praktizierenden in China durch die Kommunistische Partei China's """,7,
95.0,2023-03-08 00:00:00,8. März / Internationaler Frauentag ,20,50
96.0,2023-03-06 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,10
97.0,2023-03-13 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,14
98.0,2023-03-20 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,6
99.0,2023-03-27 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,12
100.0,2023-04-03 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,4
101.0,2023-03-09 00:00:00,Streik im Rahmen der Tarifverhandlungen,4,4
102.0,2023-04-17 00:00:00,Friedensdemo,1000,250
103.0,2023-03-13 00:00:00,Recht auf Leben und Selbstbestimmung,300,145
104.0,2023-05-01 00:00:00,Internationaler Tag der Arbeit,500,200
105.0,2023-04-29 00:00:00,transparenter politischer Dialog,3000,2650
106.0,2023-03-18 00:00:00,Recht auf Leben in Selbstbestimmung,40,10
107.0,2023-03-10 00:00:00,Streik im Rahmen der Tarifverhandlungen,30,10
108.0,2023-03-13 00:00:00,Streik im Rahmen der Tarifverhandlungen,30,
109.0,2023-03-14 00:00:00,Streik im Rahmen der Tarifverhandlungen,30,
110.0,2023-04-11 00:00:00,Gemeinsam durch die Kiesen der heutigen Zeit,10,3
111.0,2023-03-20 00:00:00,Aktion für eine demokratische Zivilgesellschaft und gegen Rassismus in Magdeburg,20,
112.0,2023-03-15 00:00:00,"Aktionstag der GdS, aktive Mittagspause",30,25
113.0,2023-03-15 00:00:00,Friedenssingen,10,
114.0,2023-03-24 00:00:00,Warnstreik Tarifrunde öffentlicher Dienst,800,700
115.0,2023-03-20 00:00:00,Recht auf Leben und Selbstbestimmung,300,160
116.0,2023-03-27 00:00:00,Tarifrunde 2023,100,200
117.0,2023-03-27 00:00:00,Warnstreik Tarifrunde öffentlicher Dienst,300,200
118.0,2023-03-23 00:00:00,Aktion für eine demokratische Zivilgesellschaft und gegen Rassismus in Magdeburg,20,
119.0,2023-03-22 00:00:00,Gedenken an den Femizid in Bad Lauchtädt,30,50
120.0,2023-03-27 00:00:00,Recht auf Leben und Selbstbestimmung,300,122
121.0,2023-04-01 00:00:00,Recht auf Leben in Selbstbestimmung,40,17
122.0,2023-05-06 00:00:00,Globle Marijuana March,420,59
123.0,2023-04-03 00:00:00,Recht auf Leben und Selbstbestimmung,300,90
124.0,2023-05-01 00:00:00,"Maikundgebung, ungebrochen solidarisch",1000,450
125.0,2023-04-01 00:00:00,Rojava,200,17
126.0,2023-04-29 00:00:00,Autokorso - Frieden ohne Waffen,300,300
127.0,2023-05-20 00:00:00,Future Parade – die Zukunft junger Menschen in den Blick nehmen,500,250
128.0,2023-04-05 00:00:00,Friedenslieder singen,10,
129.0,2023-04-08 00:00:00,Recht auf Leben in Selbstbestimmung,40,7
130.0,2023-04-08 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,5
131.0,2023-04-08 00:00:00,Christliche Werte basierend auf Ostern wiederentdecken,60,14
132.0,2023-04-17 00:00:00,Recht auf Leben und Selbstbestimmung,300,137
133.0,2023-04-15 00:00:00,Die Verfolgung von Falun Gong- Praktizierenden in China durch die Kommunistische Partei China's,7,6
134.0,2023-04-27 00:00:00,rechte Gewalt,100,110
135.0,2023-04-17 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,10
136.0,2023-04-24 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,5
137.0,2023-04-21 00:00:00,Für Menschen mit Handicap,10,8
138.0,2023-04-22 00:00:00,Recht auf Leben in Selbstbestimmung,40,15
139.0,2023-04-24 00:00:00,Recht auf Leben und Selbstbestimmung,300,110
140.0,2023-04-25 00:00:00,"Eltern-Kind-Entfremdung, Kampagne ""Genug Tränen""",10,
141.0,2023-04-29 00:00:00,Solidarität statt Verschwörungsideologie und Desinformation,300,60
142.0,2023-05-17 00:00:00,IDAHOBIT 2023/QUEER Jugendaktionstag,100,100
143.0,2023-08-19 00:00:00,CSD Magdeburg 2023,1000,3000
144.0,2023-05-01 00:00:00,Bebauung der Rotehorninsel/Stadtgrün ist keine Deko,10,8
145.0,2023-05-01 00:00:00,Recht auf Leben und Selbstbestimmung,300,49
146.0,2023-05-01 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,10,
147.0,2023-05-06 00:00:00,Recht auf Leben in Selbstbestimmung,40,8
148.0,2023-05-08 00:00:00,Recht auf Leben und Selbstbestimmung,300,110
149.0,2023-05-08 00:00:00,"Tag der Befreiung - Nie wieder Krieg, nie wieder Faschismus",50,30
150.0,2023-05-08 00:00:00,Gedenken an die Opfer des zweiten Weltkrieges,50,25
151.0,2023-05-08 00:00:00,"Gedenken zum ""Tag der Befreiung vom Hitler-Faschismus"" durch Sowjetsoldaten",20,
152.0,2023-05-08 00:00:00,"Gedenken zum ""Tag der Befreiung vom Hitler-Faschismus"" durch Sowjetsoldaten",6,
153.0,2023-05-15 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,6
154.0,2023-05-22 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,8
155.0,2023-05-29 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,6
156.0,2023-05-09 00:00:00,Gedenken an Torsten Lamprecht,20,0
157.0,2023-06-30 00:00:00,Musik gegen Mobbing,20,
158.0,2023-05-10 00:00:00,Friedenslieder singen,10,2
159.0,2023-05-10 00:00:00,Demonstration für Klima- und Bildungsgerechtigkeit,150,30
160.0,2023-05-15 00:00:00,"75 Jahre Nakba. 75 Jahre Vertreibung, Besetzung und Apartheid",50,28
161.0,2023-05-15 00:00:00,Recht auf Leben und Selbstbestimmung,300,83
162.0,2023-05-22 00:00:00,Recht auf Leben und Selbstbestimmung,300,75
163.0,2023-05-13 00:00:00,gegen die Kriegspolitik der Bundesregierung,4,4
164.0,2023-07-29 00:00:00,Gegenhalten - Solidarität statt Ausgrenzung,1500,1700
165.0,2023-07-29 00:00:00,AfD Wegbassen,300,100
166.0,2023-05-20 00:00:00,Recht auf Leben in Selbstbestimmung,40,20
167.0,2023-05-22 00:00:00,Menschenrechte im Iran,7,3
168.0,2023-06-14 00:00:00,Gedenkveranstaltung der Frauen des ehemaligen Frauen-KZ,30,20
169.0,2023-06-28 00:00:00,Zähne zeigen! Protest der Landeszahnärztinnen und -zahnärzte gegen die Untätigkeit der Landesregierung und das Ausbluten des Gesundheitssystems,200,400
