Demonstrationen / Versammlungen / Aufzüge 2019,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Lfd Nr.,Datum,Art,Thema,Anmeldedatum,Versammlungsort,Erwartete TN
,,,,,,
1,2019-05-04 00:00:00,Aufzug,Global Mariuana March,2018-08-08 00:00:00,Strecke,400
2,2019-03-08 00:00:00,Aufzug,Womens March - Demo zum Weltfrauen*tag,2018-11-23 00:00:00,Strecke,
3,2019-01-07 00:00:00,Versammlung,Veganismus,2018-12-07 00:00:00,Gutenbergplatz (Denkmalseite),
4,2019-01-19 00:00:00,Versammlung,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2018-12-13 00:00:00,Hauptbahnhof,45
5,2019-01-18 00:00:00,Aufzug,#FridaysForFuture - Jugendbewegung: Demonstration gegen die aktuelle Klimapolitik ,2018-12-24 00:00:00,Strecke,400
6,2019-01-05 00:00:00,Aufzug,"Freiheit für Öcalan, Hungerstreik",2019-01-02 00:00:00,Strecke,200-300
7,2019-01-18 00:00:00,Versammlung,Veganismus,2019-01-03 00:00:00,Gutenbergplatz (Denkmalseite),20
8,2019-02-02 00:00:00,Versammlung,Veganismus,2019-01-03 00:00:00,Gutenbergplatz (Denkmalseite),20
9,2019-02-16 00:00:00,Versammlung,Veganismus,2019-01-03 00:00:00,,20
10,2019-01-26 00:00:00,Aufzug,Tierschutz,2019-01-03 00:00:00,Strecke,3-9
11,2019-01-09 00:00:00,Versammlung,"Wir lieben Deutschland - Migrantinnen und Migranten für Deutschland, gegen die AfD, Nachfeier Geburts",2019-01-04 00:00:00,Pfandhaussstraße Ecke Emmeransstraße,50
12,2019-01-12 00:00:00,Versammlung,Für Chinas Seidenstraße,2019-01-09 00:00:00,Seppel-Glückert-Passage Ecke Georg-Moller-Passage,3
13,2019-02-19 00:00:00,Aufzug,Einkommensrunde öD,2019-01-11 00:00:00,Strecke,1500
14,2019-01-23 00:00:00,Versammlung,dbb Jugend Einkommensrunde,2019-01-15 00:00:00,Mittlere Bleiche,7
15,2019-03-07 00:00:00,Versammlung,Menschenkette für Demokratie und Toleranz,2019-01-14 00:00:00,Strecke,30-500
16,2019-01-19 00:00:00,Versammlung,Abtreibungsgegner,2019-01-15 00:00:00,Strecke,6-12
17,2019-01-16 00:00:00,Versammlung,Nur Liebe für ein faires PJ – Aktionstag Mainz,2019-01-16 00:00:00,Unimedizin,200
18,2019-02-02 00:00:00,Aufzug,Recht auf Familiennachzug,2019-01-22 00:00:00,Strecke,50
19,2019-02-26 00:00:00,Aufzug,Warnstreik im Rahmen der Tariverhandlungen TV-L,2019-01-22 00:00:00,Strecke,1000
20,2019-02-16 00:00:00,Versammlung,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2019-01-23 00:00:00,Neubrunnenplatz,20
21,2019-02-26 00:00:00,Aufzug,Warnstreik im Rahmen der Tariverhandlungen TV-L,2019-01-25 00:00:00,Strecke,150
22,2019-02-26 00:00:00,Aufzug,Warnstreik im Rahmen der Tariverhandlungen TV-L,2019-01-25 00:00:00,Strecke,300
23,2019-05-01 00:00:00,Versammlung,1. Mai Kundgebung,2019-12-11 00:00:00,Liebfrauenplatz,1000
24,2019-03-01 00:00:00,Versammlung,Fluglärm,2019-01-28 00:00:00,Peter-Altmeier-Allee,40-50
25,2019-02-15 00:00:00,Aufzug,#FridaysForFuture - Jugendbewegung: Demonstration gegen die aktuelle Klimapolitik ,2019-01-28 00:00:00,Strecke,1000
26,2019-02-07 00:00:00,Versammlung,Verdi Warnstreik,2019-02-01 00:00:00,"KMW AG, Kraftwerkalleee 1",150
27,2019-03-16 00:00:00,Aufzug,Internationale Woche gegen Rassismus,2019-01-30 00:00:00,Strecke,30
28,2019-03-16 00:00:00,Versammlung,Veganismus,2019-02-01 00:00:00,Leichhof,15
29,2019-03-30 00:00:00,Versammlung,Veganismus,2019-02-01 00:00:00,Pfandhaussstraße Ecke Emmeransstraße,15
30,2019-02-26 00:00:00,Aufzug,Warnstreik im Rahmen der Tariverhandlungen TV-L,2019-02-04 00:00:00,Strecke,150
31,2019-02-18 00:00:00,Aufzug,"Schulgeldfreiheit für alle Gesundheitsfachberufe, Erhalt der Inklusion",2019-02-06 00:00:00,Strecke,200
32,2019-02-13 00:00:00,Versammlung,Mehr Fahrradwege in Mainz,2019-02-06 00:00:00,Gutenbergplatz (Theaterseite),200
33,2019-02-16 00:00:00,Versammlung,Solidarität mit Venezuela,2019-02-04 00:00:00,Hauptbahnhof,50
34,2019-02-22 00:00:00,Versammlung,Feministischer Streik und Demo Ankündigung,2019-02-06 00:00:00,Gutenbergplatz (Theaterseite),20
35,2019-02-23 00:00:00,Versammlung,Feministischer Streik und Demo Ankündigung,2019-02-06 00:00:00,Gutenbergplatz (Theaterseite),20
36,2019-03-01 00:00:00,Versammlung,Feministischer Streik und Demo Ankündigung,2019-02-06 00:00:00,Pfandhaussstraße Ecke Emmeransstraße,20
37,2019-03-02 00:00:00,Versammlung,Feministischer Streik und Demo Ankündigung,2019-02-06 00:00:00,Pfandhaussstraße Ecke Emmeransstraße,20
38,2019-03-07 00:00:00,Versammlung,Feministischer Streik und Demo Ankündigung,2019-02-06 00:00:00,Alte Universität,20
39,2019-05-11 00:00:00,Versammlung,Nutzung Öffentlicher Plätze,2019-02-07 00:00:00,Ludwigsstraße (Platz vor der Deutsch Bank),20
40,2019-05-18 00:00:00,Versammlung,Nutzung Öffentlicher Plätze,2019-02-07 00:00:00,Ludwigsstraße (Platz vor der Deutsch Bank),20
41,2019-02-16 00:00:00,Versammlung,Aktion Bunte Westen für soziale Gerrechtigkeit gegen Gewalt und Rassismus,2019-02-08 00:00:00,Landtag/Große Bleiche ,20
42,2019-02-25 00:00:00,Versammlung,Solidarität mit Venezuela,2019-02-10 00:00:00,Bahnhofplatz,50
43,2019-04-20 00:00:00,Aufzug,Ostermarsch,2019-02-10 00:00:00,Strecke,400
44,2019-05-01 00:00:00,Aufzug,1. Mai Demonstration,2019-02-10 00:00:00,Strecke ,400
45,2019-05-17 00:00:00,Aufzug,Kundgebung zum Internationalen Tag gegen Homophobie und Transphobie,2019-02-07 00:00:00,Strecke,100
46,2019-03-02 00:00:00,Versammlung,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2019-02-12 00:00:00,tba.,15
47,2019-03-16 00:00:00,Versammlung,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2019-02-12 00:00:00,Gutenbergplatz (Denkmalseite),15
48,2019-03-30 00:00:00,Versammlung,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2019-02-12 00:00:00,Gutenbergplatz (Denkmalseite),15
49,2019-02-23 00:00:00,Aufzug,Tierschutz/Gegen Massentierhaltung,2019-02-13 00:00:00,Strecke ,3-9
50,2019-02-21 00:00:00,Versammlung,Mahnwache gegen umweltschädlichen Aktivtourismus,2019-02-18 00:00:00,Pfandhaussstraße Ecke Emmeransstraße,10-25
51,2019-02-23 00:00:00,Versammlung,Deutschlands Zukunft ist die neue Seidenstraße ,2019-02-18 00:00:00,Höfchen,3-5
52,2019-03-09 00:00:00,Versammlung,Mahnwache gegen Fastnachtstourismus,2019-02-19 00:00:00,"Gutenbergplatz (Theaterseite), Richtung HDW",10-25
53,2019-03-16 00:00:00,Versammlung,Mahnwache gegen Fußballtourismus,2019-02-19 00:00:00,Gartenfeldplatz,10-25
54,2019-03-23 00:00:00,Versammlung,Mahnwache gegen Naturtourismus,2019-02-19 00:00:00,"Gutenbergplatz (Denkmalseite), in Richtung Hypo Vereinsbank",10-25
55,2019-03-15 00:00:00,Aufzug,#FridaysForFuture - Jugendbewegung: Demonstration gegen die aktuelle Klimapolitik ,2019-02-20 00:00:00,Strecke,1000
56,2019-03-11 00:00:00,Aufzug,Zukunft Klima-Energie-Leben,2019-02-25 00:00:00,Strecke,50-100
57,2019-03-09 00:00:00,Versammlung,Warnstreik bei CineStar Mainz,2019-02-26 00:00:00,Holzhostraße,40-50
58,2019-03-10 00:00:00,Versammlung,Warnstreik bei CineStar Mainz,2019-02-26 00:00:00,Holzhostraße,40-50
59,2019-03-08 00:00:00,Versammlung,Frauenstreik für Gleichberechtigung,2019-02-27 00:00:00,Gutenbergplatz,50
60,2019-04-13 00:00:00,Versammlung,Veganismus,2019-03-04 00:00:00,Seppel-Glückert-Passage Ecke Franziskanerstraße,15
61,2019-04-26 00:00:00,Versammlung,Veganismus,2019-03-04 00:00:00,Leichhof,15
62,2019-05-11 00:00:00,Aufzug,Abschiebungshaft stoppen,2019-03-06 00:00:00,Strecke,200
63,2019-04-07 00:00:00,Versammlung,Gesundheit ohne Globuli…,2019-04-07 00:00:00,Gutenbergplatz,50
64,2019-03-23 00:00:00,Aufzug,Tierschutz / gegen Masentierhaltung,2019-03-13 00:00:00,Strecke,3-9
65,2019-08-06 00:00:00,Versammlung,Hiroshima-Gedenktag,2019-03-18 00:00:00,Gutenbergplatz (Denkmalseite),20-30
66,2019-03-26 00:00:00,Versammlung,Warnstreik IGM,2019-03-15 00:00:00,Obere Austr./Ecke Rheinallee,70
67,2019-04-12 00:00:00,Aufzug,#FridaysForFuture - Jugendbewegung: Demonstration gegen die aktuelle Klimapolitik ,2019-03-17 00:00:00,Strecke,1000
68,2019-04-08 00:00:00,Aufzug,Zukunft-Klima-Agrarwende-Demokratie-Europa,2019-03-18 00:00:00,Strecke ,50-100
69,2019-05-13 00:00:00,Aufzug,Zukunft-Klima-Agrarwende-Demokratie-Europa,2019-03-18 00:00:00,Strecke,50-100
70,2019-05-18 00:00:00,Aufzug,Zukunft-Klima-Agrarwende-Demokratie-Europa,2019-03-19 00:00:00,Strecke,500
71,2019-03-29 00:00:00,Aufzug,"Bretzenheimer Klima-Kinder, Klimaschutz",2019-03-20 00:00:00,Strecke,50
72,2019-04-02 00:00:00,Aufzug,Marsch der Überlebenden von Prostitution,2019-03-22 00:00:00,Strecke,40
73,2019-03-22 00:00:00,Versammlung,Solidarität mit Neuseeland,2019-03-22 00:00:00,Schillerplatz,50-100
74,2019-03-26 00:00:00,Versammlung,Warnstreik bei CineStar Mainz,2019-03-25 00:00:00,Holzhostraße,
75,2019-05-12 00:00:00,Versammlung,(Wahlaufruf zur) Europawahl,2019-03-26 00:00:00,Gutenbergplatz,1000
76,2019-05-26 00:00:00,Aufzug,Fahrraddemo,2019-02-07 00:00:00,Strecke,75
77,2019-04-06 00:00:00,Versammlung,Schluss mit dem Mietenwahnsinn,2019-03-29 00:00:00,Geschwister-Heinevetter-Platz,50
78,2019-04-13 00:00:00,Versammlung,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2019-03-31 00:00:00,Bahnhofplatz,20
79,2019-04-27 00:00:00,Versammlung,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2019-03-30 00:00:00,Bahnhofplatz,20
80,2019-03-31 00:00:00,Versammlung,Gegen AfD-Veranstaltung,,,
81,2019-04-02 00:00:00,Versammlung,Hungerstreik in der Türkei,2019-04-01 00:00:00,Bahnhofplatz,
82,2019-04-09 00:00:00,Versammlung,Bund-Länder-Agrarministerkonferenz in Landau,2019-04-03 00:00:00,Emmeransstraße 39,12
83,2019-05-16 00:00:00,Versammlung,Mahnwache an der Stele für deportierte Mainzer Sinti,2019-04-08 00:00:00,"Gedenkstele, Höhe Altenauergasse 7 ",10
84,2019-05-04 00:00:00,Versammlung,Wolle mer se eroilasse? Fourth of May-Free Movement Day,2019-04-08 00:00:00,TH-Brücke,20
85,2019-05-11 00:00:00,Versammlung,Veganismus,2019-04-09 00:00:00,"Gutenbergplatz, Denkmalseite ",15
86,2019-05-19 00:00:00,Versammlung,Wiesbaden-Mainz-Kastel wieder eingemeinden,2019-03-21 00:00:00,Strecke ,50
87,2019-04-16 00:00:00,Versammlung,Aufruf zur Republik Europa,2019-04-15 00:00:00,Gutenbergplatz,10
88,2019-04-17 00:00:00,Versammlung,Aufruf zur Republik Europa,2019-04-15 00:00:00,Gutenbergplatz (Theaterseite),10
89,2019-04-18 00:00:00,Versammlung,Aufruf zur Republik Europa,2019-04-15 00:00:00,Gutenbergplatz (Denkmalseite),10
90,2019-04-20 00:00:00,Versammlung,Aufruf zur Republik Europa,2019-04-15 00:00:00,Schillerplatz,10
91,2019-04-17 00:00:00,Versammlung,Anlässlich des Antrags im Mainzer Stadtrat: Schafft sichere Häfen für Geflüchtete,2019-04-16 00:00:00,Jockel-Fuchs-Platz,15
92,2019-05-25 00:00:00,Versammlung,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2019-04-16 00:00:00,Bahnhofplatz,20
93,2019-05-18 00:00:00,Versammlung,"Mahnwache gegen Hunger  ""Hartz IV -Frühstück""",2019-04-15 00:00:00,Feldbergplatz,10-15
94,2019-05-03 00:00:00,Aufzug,#FridaysForFuture - Jugendbewegung: Demonstration gegen die aktuelle Klimapolitik ,2019-04-16 00:00:00,Strecke,1000
95,2019-05-03 00:00:00,Aufzug,"Bretzenheimer Klima-Kinder, Klimaschutz",2019-04-18 00:00:00,Strecke,150
96,2019-05-14 00:00:00,Versammlung,Demokratie braucht freie Kitas,2019-04-18 00:00:00,Ernst-Ludwig-Platz,500
97,2019-05-18 00:00:00,Aufzug,Bildung,2019-04-17 00:00:00,Strecke,200
98,2019-05-24 00:00:00,Aufzug,Stoppt das Sterben an den EU-Außengrenzen - Ein Europa für alle,2019-04-18 00:00:00,Strecke,400
99,2019-04-27 00:00:00,Versammlung,Aserbaidschanische Freiheit mit Politischen Gefangenen,2019-04-23 00:00:00,"HBF, Strecke",20
100,2019-04-29 00:00:00,Aufzug,Macht Kirche zukunftsfähig! Tag der Diakonin 2019,2019-04-23 00:00:00,Strecke,200
101,2019-05-17 00:00:00,Versammlung,Kirchenstaat? Nein Danke. 100 Jahre Verfassungsbruch sind genug,2019-04-23 00:00:00,Gutenbergplatz,10
102,2019-04-27 00:00:00,Versammlung,Die-IN von Extinction Rebellion,2019-04-24 00:00:00,Bahnhofplatz,20-30
103,2019-05-04 00:00:00,Versammlung,Tierschutz/Gegen Massentierhaltung,2019-04-26 00:00:00,Augustinerstraße Ecke Kirschgarten,3-7
104,2019-05-12 00:00:00,Versammlung,Geplante Mülldeponie im Steinbruch,2019-04-25 00:00:00,Wendeschleife im Paul-Gerhardt-Weg,20
105,2019-05-01 00:00:00,Versammlung,Lebensqualität und Fairness- Europawahl,2019-04-29 00:00:00,Gutenbergplatz (Denkmalseite),20
106,2019-04-30 00:00:00,Versammlung,"Freiheit für Öcalan, Hungerstreik",2019-04-30 00:00:00,Bahnhofplatz,20-30
107,2019-05-02 00:00:00,Versammlung,Europawahlen 2019,2019-05-02 00:00:00,Pfandhaussstraße Ecke Emmeransstraße,10
108,2019-05-03 00:00:00,Versammlung,Europawahlen 2019,2019-05-02 00:00:00,Alte Universität,10
109,2019-05-22 00:00:00,Versammlung,Für die Einhaltung von Grund- und Menschrechten und gegen die Missachtung der Menschenwürde in Mainz,2019-05-03 00:00:00,Hintere Bleiche 29,2-5
110,2019-05-08 00:00:00,Versammlung,Kundgebung gegen Rassismus,2019-05-03 00:00:00,Gutenbergplatz,25
111,2019-05-23 00:00:00,,70. Jahrestag des Erlasses des Grundgesetzes,2019-05-06 00:00:00,Ernst-Ludwig-Platz,1
112,2019-05-24 00:00:00,Aufzug,#fridaysForFuture,2019-05-06 00:00:00,Strecke ,800
113,2019-05-13 00:00:00,Versammlung,"""Wir machen Europa Sozial"" - Kundgebung zur Europawahl",2019-05-12 00:00:00,Ludwigsstraße,40
114,2019-05-18 00:00:00,Versammlung,Deutschlands Zukunft ist die neue Seidenstraße ,2019-05-15 00:00:00,Höfchen,3-5
115,2019-05-23 00:00:00,Aufzug,Tierschutz/Gegen Massentierhaltung,2019-05-10 00:00:00,Strecke ,3-9
116,2019-09-25 00:00:00,Aufzug,Geburtshilfe stärken - Für Frauen und Kinder in Stadt und Land,2019-05-17 00:00:00,Strecke ,500
117,2019-06-15 00:00:00,Aufzug,Bildung,2019-05-24 00:00:00,Strecke,300
118,2019-06-18 00:00:00,Versammlung,Klimaschutz,2019-05-27 00:00:00,Rheinallee,15-25
119,2019-07-13 00:00:00,Aufzug,Menschenrechte # unverhandelbar,,Strecke,350 bis 500
120,2019-06-09 00:00:00,Versammlung,Maria 2.0,2019-05-29 00:00:00,Markt,25+
121,2019-09-14 00:00:00,Versammlung,Organraub Falun-Gong,2019-05-28 00:00:00,Leichhof,10
122,2019-06-08 00:00:00,Versammlung,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2019-05-30 00:00:00,Bahnhofplatz,20
123,2019-07-20 00:00:00,Versammlung,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2019-05-30 00:00:00,Gutenbergplatz,20
124,2019-06-03 00:00:00,Versammlung,Warnstreik bei CineStar Mainz,2019-06-03 00:00:00,Holzhostraße,30 bis 40
125,2019-06-29 00:00:00,Versammlung,Tierschutz/Gegen Massentierhaltung,2019-06-04 00:00:00,Augustinerstraße,20
126,2019-06-18 00:00:00,Versammlung,Vergütung von schulischen Ausbildungen im Gesundheitswesen,2019-06-06 00:00:00,,100
