Versammlungen Potsdam 2019,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2019-01-22 00:00:00,17:00 - 18:15,Potsdam,Protest gegen erneuten Prüfauftrag Havelspange,30-50,Hegelallee 6
2019-01-20 00:00:00,11:00 - 12:00,Potsdam,Traditionelles Luxemburg-Liebknecht-Gedenken,100,Am Lustgarten 1
2019-01-07 00:00:00,18:00 - 20:00,Potsdam,Für Frieden und Menschenrechte,20,Steubenplatz
2019-01-14 00:00:00,18:00 - 20:00,Potsdam,Für Frieden und Menschenrechte,20,Steubenplatz
2019-01-21 00:00:00,18:00 - 20:00,Potsdam,Für Frieden und Menschenrechte,20,Steubenplatz
2019-01-28 00:00:00,18:00 - 20:00,Potsdam,Für Frieden und Menschenrechte,20,Steubenplatz
2019-02-04 00:00:00,18:00 - 20:00,Potsdam,Für Frieden und Menschenrechte,20,Steubenplatz
2019-02-11 00:00:00,18:00 - 20:00,Potsdam,Für Frieden und Menschenrechte,20,Steubenplatz
2019-02-18 00:00:00,18:00 - 20:00,Potsdam,Für Frieden und Menschenrechte,20,Steubenplatz
2019-02-25 00:00:00,18:00 - 20:00,Potsdam,Für Frieden und Menschenrechte,20,Steubenplatz
2019-03-04 00:00:00,18:00 - 20:00,Potsdam,Für Frieden und Menschenrechte,20,Steubenplatz
2019-03-11 00:00:00,18:00 - 20:00,Potsdam,Für Frieden und Menschenrechte,20,Steubenplatz
2019-03-18 00:00:00,18:00 - 20:00,Potsdam,Für Frieden und Menschenrechte,20,Steubenplatz
2019-03-25 00:00:00,18:00 - 20:00,Potsdam,Für Frieden und Menschenrechte,20,Steubenplatz
2019-01-18 00:00:00,14:00 - 16:00,Potsdam,FFF - Solidarität Umweltaktivistin Thunberg (Kohleausstieg),150,Landtag
2019-01-27 00:00:00,11:00 - 12:00,Potsdam,Tag des Gedenkens an NS-Opfer,40,Willi-Frohwein-Platz
2019-01-16 00:00:00,12:30 - 13:30,Potsdam,Petition gegen Putenmast in Roddahn,50,Hbf -> Landtag
2019-01-18 00:00:00,18:30 - 20:00,Potsdam,Erinnerung an Gründung des Königreichs Preußen,20-30,Alter Markt
2019-01-30 00:00:00,08:00 - 12:00,Potsdam,Windenergie ist unser täglich Brot,150,Alter Markt
2019-06-11 00:00:00,13:00 - 18:00,Potsdam,Landesarmutskonferenz,300,Innenstadt Potsdam
2019-02-14 00:00:00,17:00 - 18:00,Potsdam,One Billion Rising 2019 (Tanz gegen Gewalt an Frauen),50-100,Alter Markt
2019-02-06 00:00:00,09:30 - 12:00,Potsdam,Einkommensrunde 2019 öD der Länder (2. Verhandlungsrunde),150,Kongresshotel
2019-01-30 00:00:00,14:15 - 18:00,Potsdam,Arbeitsbedingungen im Klinikum Ernst-von-Bergmann Potsdam,150-300,EvB -> Rathaus Potsdam
2019-01-28 00:00:00,17:30 - 18:30,Potsdam,Öffnet die Häfen: Senotrettung unterstützen,150,Rathaus Potsdam -> Steubenplatz
2019-05-05 00:00:00,14:00 - 15:00,Potsdam,Pulse of Europe,200,Vorplatz BRB-Tor
2019-05-12 00:00:00,14:00 - 15:00,Potsdam,Pulse of Europe,200,Vorplatz BRB-Tor + Fahrradkorso
2019-05-19 00:00:00,14:00 - 15:00,Potsdam,Pulse of Europe,200,
2019-02-06 00:00:00,09:30 - 14:00,Potsdam,Tarifverhandlungen (Tarifgemeinschaft deutscher Länder),150,Kongresshotel
2019-02-15 00:00:00,14:00 - 16:00,Potsdam,"FFF - Klimaschutz, Kohleausstieg, gerechte Umweltpolitik",400,Luisenplatz -> Steubenplatz -> Luisenplatz
2019-02-15 00:00:00,12:00 - 16:00,Potsdam,Bildung ist keine Massenware - gegen Einführung von 18 SWS für Dozierende,400,Neues Palais -> Landtag
2019-02-14 00:00:00,17:00 - 19:00,Potsdam,Nur eine nimmt IN den Arm,10,Platz der Einheit
2019-02-20 00:00:00,13:30 - 14:00,Potsdam,Verlegung von 4 Stolpersteinen,30,Stahnsdorfer Straße 92
2019-02-28 00:00:00,11:00 - 13:00,Potsdam,Einkommensrunde 2019 öD der Länder (3. Verhandlungsrunde),150,Kongresshotel
2019-03-01 00:00:00,09:00 - 11:00,Potsdam,Einkommensrunde 2019 öD der Länder (3. Verhandlungsrunde),150,Kongresshotel
2019-03-08 00:00:00,11:00 - 14:30,Potsdam,Internationaler Frauenkampftag - Gegen patriarchale und kapitalistische Zumutungen,200,Hbg -> Brandenburger Tor
2019-02-19 00:00:00,18:00 - 23:00,Potsdam,"Energiepolitik, Kohleausstieg",20,Gesamtschule Leonardo da Vinci
2019-04-13 00:00:00,14:00 - 16:00,Potsdam,Frieden statt NATO (Ostermarsch),200,Brandenburger Tor -> Platz der Einheit
2019-02-23 00:00:00,07:30 - 12:00,Potsdam,§ 28a abschaffen,10,Rathaus Potsdam
2019-03-01 00:00:00,08:00 - 14:30,Potsdam,Tarifverhandlungen Länder 2019 (3. Verhandlungsrunde),400,Kongresshotel
2019-03-23 00:00:00,10:00 - 13:00,Potsdam,Art. 13 EU Urhebergrechtsgesetz,200,Innenstadt Potsdam
2019-02-28 00:00:00,09:00 - 10:00,Potsdam,Reaktion auf Repressionen der Personen #Lausitz23,20,Alter Markt
2019-02-28 00:00:00,10:00 - 15:00,Potsdam,Warnstreik zur aktuellen Tarifverhandlung TV-L,75-100,Kongresshotel
2019-03-08 00:00:00,15:00 - 16:30,Potsdam,§ 219a StBG abschaffen,10,Steubenplatz
2019-03-08 00:00:00,16:00 - 18:30,Potsdam,Internationaler Frauenkampftag,10,Bildungsforum
2019-03-15 00:00:00,12:00 - 17:00,Potsdam,FFF,500-1000,Steubenplatz -> Staatskanzlei -> Steubenplatz
2019-03-30 00:00:00,14:00 - 17:00,Potsdam,Mahnwache: Tierschutz / gegen Massentierhaltung,15-25,Brandenburger Tor
2019-03-14 00:00:00,17:30 - 19:30,Potsdam,Klimagerechtigkeit,10,Otto-Braun-Platz
2019-03-31 00:00:00,13:00 - 17:00,Potsdam,Klimakrise,500,Innenstadt Potsdam
2019-04-06 00:00:00,12:00 - 15:00,Potsdam,Mietenwahnsinn,150,Innenstadt Potsdam
2019-03-20 00:00:00,17:30 - 18:30,Potsdam,Seebrücke Potsdam - gegen das Sterben im Mittelmeer,150,Innenstadt Potsdam
2019-05-01 00:00:00,10:00 - 11:00,Potsdam,1. Mai Demo,750,Innenstadt Potsdam
2019-04-01 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2019-04-08 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2019-04-15 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2019-04-26 00:00:00,19:00 - 20:00,Potsdam,Mahnwache (Jahrestag Tschernobyl),15-25,Luisenplatz
2019-05-30 00:00:00,13:00 - 15:00,Potsdam,"feministische Demo gegen toxische Männlichkeit, Anlass: ""Männertag""",100,Aufzug Innenstadt
2019-05-11 00:00:00,10:00 - 14:00,Potsdam,March for Science - Scientists for Future,1000,Aufzug Innenstadt Potsdam
2019-04-12 00:00:00,14:00 - 17:00,Potsdam,Fridays for Future,1000,Innenstadt Potsdam
2019-06-03 00:00:00,15:00 - 18:30,Potsdam,ADFC Fahrraddemo,20-50,Innenstadt Potsdam
2019-05-17 00:00:00,16:00 - 19:00,Potsdam,Europawahlkampf 2019,250,Vorplatz BRB-Tor
2019-05-17 00:00:00,16:00 - 19:00,Potsdam,Fahrraddemo - Rassisten*innen in die Suppe versalzen,50,Innenstadt Potsdam
2019-04-24 00:00:00,16:00 - 20:30,Potsdam,Gott ist nicht tot,30,"Lange Brücke, am Eingang Freundschaftsinsel"
2019-04-25 00:00:00,16:00 - 20:30,Potsdam,Gott ist nicht tot,30,"Lange Brücke, am Eingang Freundschaftsinsel"
2019-05-17 00:00:00,16:00 - 18:00,Potsdam,IDAHOBIT,20,Vorplatz BRB-Tor
2019-06-08 00:00:00,14:00 - 17:30,Potsdam,Tierschutz / gegen Massentierhaltung,15-25,Vorplatz BRB-Tor
2019-04-29 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,30,Steubenplatz
2019-05-06 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,30,Steubenplatz
2019-05-13 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,30,Steubenplatz
2019-05-20 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,30,Steubenplatz
2019-05-27 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,30,Steubenplatz
2019-06-03 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,30,Steubenplatz
2019-06-17 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,30,Steubenplatz
2019-06-01 00:00:00,16:00 - 22:00,Potsdam,Mahnwache für Frieden und Solidarität,30,Steubenplatz
2019-05-22 00:00:00,17:00 - 18:30,Potsdam,Festung Europa einreißen,200,Brandenburger Straße
2019-05-08 00:00:00,13:30 - 14:30,Potsdam,"8. Mai, 74. Jahrestag der Befreiung…",150,"Bassinplatz, sowjetischer Ehrenfriedhof"
2019-05-08 00:00:00,18:30 - 19:00,Potsdam,74. Jahrestag der Befreiung Deutschlands - Gedenkveranstaltung,10 - 15,"Alter Markt 9, Gedenkstein der Vertriebenen"
2019-05-20 00:00:00,16:00 - 18:00,Potsdam,Weltbienentag,5,"Potsdam, Brandenburger Sraße 28"
2019-05-25 00:00:00,14:00 - 15:00,Potsdam,Fahrraddemo,600,Innenstadt Potsdam
2019-05-25 00:00:00,15:00 - 18:00,Potsdam,Straße für Alle Demo,600,Feuerbachstraße
2019-05-12 00:00:00,11:30 - 12:30,Potsdam,Europawahlkampftour 2019,30,Innenstadt Potsdam
2019-05-17 00:00:00,13:15 - 14:45,Potsdam,"Internationaler Tag gegen Homo-, Bi- und Trans*phobie",50-70,Innenstadt Potsdam
2019-05-18 00:00:00,12:45 - 17:15,Potsdam,Videoaktion zur Aufklärung über die Tierindustrie,20,Hegelallee 55
2019-05-11 00:00:00,09:00 - 11:00,Potsdam,Protest gegen den Gifteinsatz in Brandenburgs Wäldern,20,Am Luftschiffhafen 1 (Kongresshotel)
2019-05-11 00:00:00,09:00 - 11:00,Potsdam,Die Eckpunkte des Verkehrsministers müssen weg (Unsere Taxis…),20,Am Luftschiffhafen 1 (Kongresshotel)
2019-05-18 00:00:00,13:15 - 15:00,Potsdam,Seebrücke Potsdam - gegen das Sterben im Mittelmeer,100,Innenstadt Potsdam
2019-05-09 00:00:00,15:30 - 18:00,Potsdam,Eilversammlung gegen die Nichteinladung zum Europafest der BBB…,15-20,Steubenplatz an den Ringerkolonaden
2019-05-24 00:00:00,11:50 - 16:00,Potsdam,Fridays for Future,1200,Innenstadt Potsdam
2019-06-16 00:00:00,13:00 - 19:00,Potsdam,Potsdam for Future,500 - 1000,Innenstadt Potsdam
2019-06-06 00:00:00,09:00 - 09:30,Potsdam,Fahrraddemo - bundeseinheitliche Abschaffung des Schulgeldes…,1500,"Glienicker Brücke, weiter nach Berlin"
2019-08-18 00:00:00,13:00 - 17:00,Potsdam,Bootsdemo für den Kohleausstieg,600,auf der Havel in Potsdam
2019-06-12 00:00:00,14:00 - 15:30,Potsdam,Aktion für Klimaschutz,20,Gregor-Medel-Straße 3
2019-06-01 00:00:00,16:30 - 18:00,Potsdam,Fischen im Mittelmeer,10 - 20,Luisenplatz
2019-06-19 00:00:00,08:30 - 10:00,Potsdam,"Die Stadt Potsdam kann keine IT an Lenné-Gesamtschule
Mahnwache des Taxigewerbes gegen Reformpläne aus dem Bundesverkehrsministerium",100,"Potsdam, Friedrich-Ebert-Straße 79"
2019-06-11 00:00:00,09:00 - 11:30,Potsdam,,10 - 12,"Potsdam, Alter Markt"
2019-06-16 00:00:00,16:00 - 16:30,Potsdam,"Schutz der Ozeane, Gegen die Privatisierung von Wasserrechten",20,"Potsdam, Freundschaftsinsel"
2019-06-17 00:00:00,18:00 - 19:00,Potsdam,Gedenken 17.06.1953,15 - 20,"Potsdam, Friedrich-Engels-Straße 17, RAW"
2019-06-14 00:00:00,09:30 - 10:30,Potsdam,Landtagsabstimmung zum Ausrufen des Klimanotstandes im Land Brandenburg,3,"Potsdam, Alter Markt"
2019-06-15 00:00:00,09:00 - 09:55,Potsdam,Omas gegen rechts,7 - 15,"Potsdam, Alter Markt"
2019-08-15 00:00:00,10:00 - 12:00,Potsdam,Für eine bessere Finanzierung der freien Schulen seitens der Landesregierung Brandenburgs,7500,"Potsdam, Heinrich-Mann-Allee 107 bis Alter Markt"
2019-06-19 00:00:00,13:00 - 14:00,Potsdam,Klimaschutz,15,Am Kanal 47
2019-06-19 00:00:00,16:00 - 17:00,Potsdam,Klimanotstand,20,Friedrich-Ebert-Straße 80
2019-06-18 00:00:00,09:00 - 10:00,Potsdam,Deutsche Bahn AG - bessere Bahn,25,am Bahnhof Sanssouci
2019-06-19 00:00:00,08:30 - 10:00,Potsdam,Deutsche Bahn AG - bessere Bahn,26,am Bahnhof Sanssouci
2019-08-18 00:00:00,13:00 - 16:30,Potsdam,Coal & Boat Demo,500,Innenstadt Potsdam
2019-07-01 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2019-07-08 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2019-07-15 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2019-07-22 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2019-07-29 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
